[2026-03-10 17:16:17] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v2 | MESSAGE=Backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-10_17-16-17_v2
[2026-03-10 17:16:56] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v3 | MESSAGE=Backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-10_17-16-56_v3
[2026-03-10 17:29:07] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | MESSAGE=Backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-10_17-29-07_v1
[2026-03-10 17:29:30] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | MESSAGE=Backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-10_17-29-30_v1
[2026-03-10 17:31:59] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | MESSAGE=Backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Backups_backup_2026-03-10_17-31-59_v1
[2026-03-10 18:05:52] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | MESSAGE=ZIP backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Backups_backup_2026-03-10_18-05-52_v1.zip
[2026-03-10 18:06:18] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | MESSAGE=Backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Backups_backup_2026-03-10_18-06-18_v1
[2026-03-10 18:12:52] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | FILES=6 | DURATION=0.02s | MESSAGE=Folder backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-10_18-12-52_v1
[2026-03-10 18:22:27] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v234 | FILES=6 | DURATION=0.07s | MESSAGE=ZIP backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-10_18-22-27_v234.zip
[2026-03-11 10:11:38] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | FILES=6 | DURATION=0.02s | MESSAGE=Folder backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-11_10-11-38_v1
[2026-03-11 10:18:26] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | FILES=6 | DURATION=0.05s | MESSAGE=ZIP backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-11_10-18-26_v1.zip
[2026-03-11 10:19:34] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | FILES=6 | DURATION=0.05s | MESSAGE=ZIP backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-11_10-19-34_v1.zip
[2026-03-11 10:22:21] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | FILES=6 | DURATION=0.01s | MESSAGE=Folder backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-11_10-22-21_v1
[2026-03-11 10:24:57] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | FILES=6 | DURATION=0.01s | MESSAGE=Folder backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-11_10-24-57_v1
[2026-03-11 10:25:45] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v567 | FILES=6 | DURATION=0.01s | MESSAGE=Folder backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-11_10-25-45_v567
[2026-03-11 10:26:03] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v568 | FILES=6 | DURATION=0.10s | MESSAGE=ZIP backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-11_10-26-03_v568.zip
[2026-03-11 10:29:53] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Test | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | FILES=6 | DURATION=0.01s | MESSAGE=Folder backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Test_backup_2026-03-11_10-29-53_v1
[2026-03-11 11:04:10] STATUS=SUCCESS | SOURCE=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | DESTINATION=/Users/lampis/Documents/GitHub/File-Backup-Logger/Backups | VERSION=v1 | FILES=1 | DURATION=0.00s | MESSAGE=Folder backup created successfully at /Users/lampis/Documents/GitHub/File-Backup-Logger/Backups/Backups_backup_2026-03-11_11-04-10_v1
